id,title,url,rank
40950584,Use a Work Journal to Recover Focus Faster and Clarify Your Thoughts,https://fev.al/posts/work-journal/,1
40952330,Ad-tech setting 'Privacy-Preserving Attribution' is opt-out in Firefox 128,https://gladtech.social/@cuchaz/112775302929069283,2
40951800,"From the book, ""Calvin and Hobbes – Sunday Pages 1985 – 1995""",http://timhulsizer.com/cwords/cintro.html,3
40951877,Wireless Amiga Tank Mouse,https://lyonsden.net/wireless-tank-mouse/,4
40923096,Crocotile3D low poly modelling tool,https://crocotile3d.com/,5
40950235,Crafting Interpreters,https://craftinginterpreters.com/,6
40952022,CO poultry workers test positive for bird flu after outbreak at egg facility,https://www.denver7.com/news/state-news/3-colorado-poultry-workers-identified-as-potential-bird-flu-cases-after-outbreak-at-commercial-egg-facility,7
40916326,Show HN: 30ms latency screen sharing in Rust,https://github.com/bitwhip/bitwhip,8
40948806,Free-threaded CPython is ready to experiment with,https://labs.quansight.org/blog/free-threaded-python-rollout,9
40944505,AT&T says criminals stole phone records of 'nearly all' customers in data breach,https://techcrunch.com/2024/07/12/att-phone-records-stolen-data-breach/,10
40951368,Who Owns Your Wireless Service? Crooks Do. (2019),https://krebsonsecurity.com/2019/08/who-owns-your-wireless-service-crooks-do/,11
40951166,"Authelia and Lldap: Authentication, SSO, User Management... for Home Networks",https://helgeklein.com/blog/authelia-lldap-authentication-sso-user-management-password-reset-for-home-networks/,12
40946033,Tau: Open-source PaaS – A self-hosted Vercel / Netlify / Cloudflare alternative,https://github.com/taubyte/tau,13
40915821,Selfie-based authentication raises eyebrows among infosec experts,https://www.theregister.com/2024/07/08/selfie_authentication_security/,14
40948202,What could explain the gallium anomaly?,https://www.quantamagazine.org/what-could-explain-the-gallium-anomaly-20240712/,15
40917439,Packing Equal Copies,https://erich-friedman.github.io/packing/,16
40948353,Beating the Compiler,https://www.mattkeeter.com/blog/2024-07-12-interpreter/,17
40949021,Responsive bar charts in HTML and CSS,https://9elements.com/blog/responsive-bar-charts-in-html-and-css/,18
40919160,Show HN: Create Music with R,https://github.com/flujoo/gm,19
40950130,Lead Animation Engineer – Gym Class (YC W22) Is Hiring,https://www.ycombinator.com/companies/gym-class-by-irl-studios/jobs/7UKmLED-lead-animation-engineer,20
40919644,New Blast-RADIUS attack breaks 30-year-old protocol used in networks everywhere,https://arstechnica.com/security/2024/07/new-blast-radius-attack-breaks-30-year-old-protocol-used-in-networks-everywhere/,21
40948566,Common Expression Language interpreter written in Rust,https://github.com/clarkmcc/cel-rust,22
40914635,So you want to rent an NVIDIA H100 cluster? 2024 Consumer Guide,https://www.photoroom.com/inside-photoroom/so-you-want-to-rent-an-nvidia-h100-cluster-2024-consumer-guide?slug=inside-photoroom/so-you-want-to-rent-an-nvidia-h100-cluster-2024-consumer-guide&_storyblok_published=511470179&,23
40951524,Exploring the Limits of Transfer Learning with a Unified Transformer (2019),https://arxiv.org/abs/1910.10683,24
40949229,Things I know about Git commits,https://www.jvt.me/posts/2024/07/12/things-know-commits/,25
40940241,Beating the L1 cache with value speculation (2021),https://mazzo.li/posts/value-speculation.html,26
40947277,lldap: Light LDAP Implementation,https://github.com/lldap/lldap,27
40947415,Show HN: Dropbase AI – A Prompt-Based Python Web App Builder,https://github.com/DropbaseHQ/dropbase,28
40951701,Azure OpenAI down in multiple regions,https://azure.status.microsoft/en-us/status,29
40933048,How Carbon Monoxide Poisoning Is Treated,https://www.verywellhealth.com/carbon-monoxide-poisoning-treatment-4161055,30
